Data transação,Data liquidação,Descrição,Valor,Saldo
2023-11-27,2023-11-29,Cobrança de taxa de corretagem de OMF,-7.5,12.8
2023-11-27,2023-11-29,Compra de 76 OMF a $ 3946 cada,-2998.95,20.3
2023-11-27,2023-11-29,Compra de 18 ARCH a $ 16550 cada,-2979,3019.25
2023-11-27,2023-11-29,Cobrança de taxa de corretagem de ARCH,-7.5,5998.25
2023-11-27,2023-11-27,Câmbio de real para dólar,6005.75,6005.75
2023-12-05,2023-12-06,Câmbio de real para dólar,9844.6,9857.4
2023-12-07,2023-12-11,Cobrança de taxa de corretagem de TTWO,-5,144.44
2023-12-07,2023-12-11,Compra de 12 TTWO a $ 15367 cada,-1844.04,149.44
2023-12-07,2023-12-11,Cobrança de taxa de corretagem de LLY,-7.5,1993.48
2023-12-07,2023-12-11,Compra de 4 LLY a $ 58554 cada,-2342.15,2000.98
2023-12-07,2023-12-11,Cobrança de taxa de corretagem de AVGO,-7.5,4343.13
2023-12-07,2023-12-11,Compra de 3 AVGO a $ 91763 cada,-2752.9,4350.63
2023-12-07,2023-12-11,Compra de 20 GOOGL a $ 13732 cada,-2746.37,7103.53
2023-12-07,2023-12-11,Cobrança de taxa de corretagem de GOOGL,-7.5,9849.9
2023-12-13,2023-12-15,Cobrança de taxa de corretagem de GOOGL,-2.5,10
2023-12-13,2023-12-15,Compra de 1 GOOGL a $ 13194 cada,-131.94,12.5
2023-12-16,2023-12-18,Imposto sobre dividendo de ARCH,-6.1,24.24
2023-12-16,2023-12-18,Dividendos de ARCH,20.34,30.34
2023-12-19,2023-12-20,Câmbio de real para dólar,4015.37,4039.61
2023-12-20,2023-12-22,Cobrança de taxa de corretagem de UNH,-5,62.78
2023-12-20,2023-12-22,Compra de 33 UNH a $ 52261 cada,-1724.6,67.78
2023-12-20,2023-12-22,Cobrança de taxa de corretagem de BABA,-7.5,1792.38
2023-12-20,2023-12-22,Compra de 30 BABA a $ 7466 cada,-2239.73,1799.88
2023-12-30,2024-01-02,Dividendos de AVGO,15.75,73.8
2023-12-30,2024-01-02,Imposto sobre dividendo de AVGO,-4.73,58.05
2024-01-19,2024-01-22,Câmbio de real para dólar,9957.17,10030.97
2024-01-22,2024-01-24,Cobrança de taxa de corretagem de MELI,-7.5,10.62
2024-01-22,2024-01-24,Compra de 128 MELI a $ 1.74872 cada,-2238.36,18.12
2024-01-22,2024-01-24,Compra de 5 META a $ 38169 cada,-1908.44,2256.48
2024-01-22,2024-01-24,Cobrança de taxa de corretagem de META,-5,4164.92
2024-01-22,2024-01-24,Compra de 32 NVDA a $ 59925 cada,-1917.6,4169.92
2024-01-22,2024-01-24,Cobrança de taxa de corretagem de NVDA,-5,6087.52
2024-01-22,2024-01-24,Cobrança de taxa de corretagem de MSFT,-5,6092.52
2024-01-22,2024-01-24,Compra de 5 MSFT a $ 39711 cada,-1985.56,6097.52
2024-01-22,2024-01-24,Cobrança de taxa de corretagem de AAPL,-5,8083.08
2024-01-22,2024-01-24,Compra de 10 AAPL a $ 19429 cada,-1942.89,8088.08
2024-02-16,2024-02-16,Transferência para Conta corrente,-10,2.3
2024-02-16,2024-02-16,Imposto sobre dividendo de AAPL,-0.72,12.3
2024-02-16,2024-02-16,Dividendos de AAPL,2.4,13.02
2024-02-24,2024-02-26,Imposto sobre dividendo de OMF,-22.8,55.5
2024-02-24,2024-02-26,Dividendos de OMF,76,78.3
2024-03-01,2024-03-01,Transferência da Conta corrente para Conta investimento,2.56,58.06
2024-03-02,2024-03-04,Transferência da Conta corrente para Conta investimento,22282.72,22340.78
2024-03-04,2024-03-06,Cobrança de taxa de corretagem de BABA,-2.5,1.56
2024-03-04,2024-03-06,Compra de 109 BABA a $ 7238 cada,-788.9,4.06
2024-03-04,2024-03-06,Compra de 2 UNH a $ 48507 cada,-970.15,792.96
2024-03-04,2024-03-06,Cobrança de taxa de corretagem de UNH,-2.5,1763.11
2024-03-04,2024-03-06,Compra de 6 TTWO a $ 14890 cada,-893.4,1765.61
2024-03-04,2024-03-06,Cobrança de taxa de corretagem de TTWO,-2.5,2659.01
2024-03-04,2024-03-06,Compra de 15 OMF a $ 4877 cada,-731.55,2661.51
2024-03-04,2024-03-06,Cobrança de taxa de corretagem de OMF,-2.5,3393.06
2024-03-04,2024-03-06,Compra de 1 NVDA a $ 84648 cada,-846.48,3395.56
2024-03-04,2024-03-06,Cobrança de taxa de corretagem de NVDA,-2.5,4242.04
2024-03-04,2024-03-06,Cobrança de taxa de corretagem de MSFT,-2.5,4244.54
2024-03-04,2024-03-06,Compra de 2 MSFT a $ 41382 cada,-827.65,4247.04
2024-03-04,2024-03-06,Cobrança de taxa de corretagem de META,-2.5,5074.69
2024-03-04,2024-03-06,Compra de 15 META a $ 50062 cada,-750.92,5077.19
2024-03-04,2024-03-06,Compra de 05 MELI a $ 1.60143 cada,-800.72,5828.11
2024-03-04,2024-03-06,Cobrança de taxa de corretagem de MELI,-2.5,6628.83
2024-03-04,2024-03-06,Compra de 1 LLY a $ 78864 cada,-788.64,6631.33
2024-03-04,2024-03-06,Cobrança de taxa de corretagem de LLY,-2.5,7419.97
2024-03-04,2024-03-06,Compra de 6 GOOGL a $ 13353 cada,-801.18,7422.47
2024-03-04,2024-03-06,Cobrança de taxa de corretagem de GOOGL,-2.5,8223.65
2024-03-04,2024-03-06,Cobrança de taxa de corretagem de AVGO,-2.5,8226.15
2024-03-04,2024-03-06,Compra de 06 AVGO a $ 1.39867 cada,-839.2,8228.65
2024-03-04,2024-03-06,Compra de 5 ARCH a $ 17813 cada,-890.65,9067.85
2024-03-04,2024-03-06,Cobrança de taxa de corretagem de ARCH,-2.5,9958.5
2024-03-04,2024-03-06,Compra de 5 AAPL a $ 17636 cada,-881.78,9961
2024-03-04,2024-03-06,Cobrança de taxa de corretagem de AAPL,-2.5,10842.78
2024-03-04,2024-03-06,Compra de 200 FBTC a $ 5744 cada,-11488,10845.28
2024-03-04,2024-03-06,Cobrança de taxa de corretagem de FBTC,-7.5,22333.28
2024-03-08,2024-03-11,Câmbio de real para dólar,8644.62,8646.18
2024-03-09,2024-03-11,Dividendos de LLY,5.2,8649.82
2024-03-09,2024-03-11,Imposto sobre dividendo de LLY,-1.56,8644.62
2024-03-11,2024-03-13,Compra de 098 QCOM a $ 16975 cada,-166.36,1.28
2024-03-11,2024-03-13,Cobrança de taxa de corretagem de QCOM,-2.5,167.64
2024-03-11,2024-03-13,Compra de 10 AAPL a $ 17313 cada,-1731.28,170.14
2024-03-11,2024-03-13,Cobrança de taxa de corretagem de AAPL,-5,1901.42
2024-03-11,2024-03-13,Cobrança de taxa de corretagem de MELI,-2.5,1906.42
2024-03-11,2024-03-13,Compra de 06 MELI a $ 1.54344 cada,-926.06,1908.92
2024-03-11,2024-03-13,Compra de 32 UNH a $ 47928 cada,-1533.7,2834.98
2024-03-11,2024-03-13,Cobrança de taxa de corretagem de UNH,-5,4368.68
2024-03-11,2024-03-13,Compra de 95 TTWO a $ 14469 cada,-1374.52,4373.68
2024-03-11,2024-03-13,Cobrança de taxa de corretagem de TTWO,-5,5748.2
2024-03-11,2024-03-13,Compra de 17 QCOM a $ 16995 cada,-2889.12,5753.2
2024-03-11,2024-03-13,Cobrança de taxa de corretagem de QCOM,-7.5,8642.32
2024-03-15,2024-03-15,Dividendos de MSFT,3.75,3.9
2024-03-15,2024-03-15,Imposto sobre dividendo de MSFT,-1.13,0.15
2024-03-16,2024-03-18,Dividendos de ARCH,29.7,24.69
2024-03-16,2024-03-18,Imposto sobre dividendo de ARCH,-8.91,-5.01
2024-03-20,2024-03-20,Dividendos de UNH,9.96,31.66
2024-03-20,2024-03-20,Imposto sobre dividendo de UNH,-2.99,21.7
2024-03-27,2024-03-27,Dividendos de META,2.5,33.41
