Date,Symbol,Type,Quantity,Buy Price (USD),Sell Price (USD),Profit/Loss (USD),Profit/Loss (%),Profit/Loss 30D (%),Profit/Loss (BRL),Days Held
2024-05-14,UNH,Swing Trade,8.5,498.9352,512.4200,107.12,2.53,0.78,547.52,97
2024-05-14,AAPL,Swing Trade,25,182.7400,186.7100,91.75,2.01,0.71,468.40,85
2024-06-18,MELI,Swing Trade,2.38,1671.2776,1570.4500,-247.47,-6.22,-1.47,-1340.41,127
2024-06-18,ARCH,Swing Trade,23,168.6804,156.1400,-295.93,-7.63,-1.25,-1602.36,183
2024-06-20,MSFT,Swing Trade,7,402.9557,441.3100,260.98,9.25,2.01,1414.07,138
2024-06-20,BABA,Swing Trade,40.9,74.2969,74.7200,9.81,0.32,0.06,51.37,163
2024-07-05,TTWO,Swing Trade,27.5,149.9816,152.1500,52.13,1.26,0.24,284.05,159
2024-09-05,FBTC,Swing Trade,200,57.4775,49.4400,-1615.00,-14.05,-2.28,-9057.84,185
2024-09-25,BABA_PUT,Swing Trade,8,2.4800,2.0000,-13.84,-69.76,-2092.74,-75.76,1
2024-09-25,BABA_PUT,Swing Trade,2,2.4800,2.0000,-0.96,-19.35,-580.65,-5.26,1
2024-10-21,BABA_PUT,Swing Trade,2,5.9000,5.0400,-6.72,-56.95,-68.34,-38.35,25
2024-10-21,BABA_PUT,Swing Trade,3,5.9000,5.0400,-2.58,-14.58,-17.49,-14.73,25
2024-12-03,CONY,Swing Trade,655,17.3174,17.3000,-18.88,-0.17,-0.03,-121.39,170
2024-12-10,TSLA_PUT,Swing Trade,1,22.1000,0.2100,-22.89,-103.57,-141.24,-138.55,22
2025-07-16,CONY,Swing Trade,1124.23,12.0775,10.0600,-2278.18,-16.78,-1.82,-12701.25,277
2025-07-16,CONY,Swing Trade,1124.22,12.0775,10.0800,-2245.68,-16.54,-5.02,-12520.15,99
2025-07-16,TSLY,Swing Trade,2099,9.5598,7.8400,-3619.88,-18.04,-4.30,-20180.56,126
2025-07-16,NVDY,Swing Trade,20,22.6679,17.7500,-108.36,-23.90,-1.51,-603.99,475
2025-07-16,NVDY,Swing Trade,3,22.6679,17.7500,-14.75,-21.70,-1.37,-82.24,475
2025-07-16,NVDY,Swing Trade,5,22.6679,17.7500,-24.59,-21.70,-1.37,-137.07,475
2025-07-16,NVDY,Swing Trade,1066,22.6679,17.7500,-5242.43,-21.70,-2.39,-29223.22,272
2025-07-16,MSTY,Swing Trade,904,26.8169,22.7200,-3703.58,-15.28,-2.03,-20649.41,225
2025-10-30,PYPL,Swing Trade,22.08,88.6960,69.7200,-418.99,-21.39,-2.04,-2257.19,314
2025-10-30,QCOM,Swing Trade,20.74,169.3629,177.7700,174.36,4.96,0.25,936.74,593
2026-03-23,GOOGL,Swing Trade,17,159.6110,304.3500,2450.56,90.31,3.24,12847.66,837
2026-03-23,AVGO,Swing Trade,15,150.2834,324.3200,2600.55,115.36,4.13,13634.36,837
2026-03-23,FI,Swing Trade,137.53,130.8625,58.3100,-9988.15,-55.50,-7.11,-52382.64,234
2026-03-23,NFLX,Swing Trade,7,1261.7286,93.2100,-8180.63,-92.62,-11.11,-42899.61,250
2026-03-23,IBM,Swing Trade,35,246.6318,250.4300,132.94,1.54,0.12,691.87,374
2026-03-23,CRWD,Swing Trade,20,471.1300,415.8700,-1105.20,-11.73,-1.41,-5800.66,250
2026-03-25,SPX_CALL,Day Trade,2,52.0000,183.0000,255.09,237.40,N/A,1333.27,0
2026-03-25,SPX_CALL,Day Trade,2,4.0000,3.0000,-4.91,-51.96,N/A,-25.67,0
2026-03-25,SPX_PUT,Day Trade,2,266.0000,710.0000,881.09,164.55,N/A,4605.05,0
2026-03-25,SPX_PUT,Day Trade,2,61.0000,7.0000,-110.91,-89.84,N/A,-579.79,0
2026-03-26,SPX_CALL,Day Trade,1,75.0000,260.0000,181.56,236.65,N/A,949.55,0
2026-03-26,SPX_CALL,Day Trade,1,75.0000,260.0000,181.56,236.65,N/A,949.55,0
2026-03-26,SPX_CALL,Day Trade,2,0.0000,0.0000,0.00,0.00,N/A,0.00,0
2026-03-26,SPX_PUT,Day Trade,1,60.0000,325.0000,261.56,423.78,N/A,1367.97,0
2026-03-26,SPX_PUT,Day Trade,1,60.0000,325.0000,261.56,423.78,N/A,1367.97,0
2026-03-26,SPX_PUT,Day Trade,2,1397.0000,192.0000,-2412.91,-86.32,N/A,-12621.68,0
2026-03-27,SPX_PUT,Day Trade,1,122.0000,327.0000,201.56,162.92,N/A,1055.50,0
2026-03-27,SPX_PUT,Day Trade,1,122.0000,327.0000,201.56,162.92,N/A,1055.50,0
2026-03-27,SPX_PUT,Day Trade,2,406.0000,82.0000,-650.91,-80.02,N/A,-3409.30,0
2026-03-27,SPX_CALL,Day Trade,2,132.0000,287.0000,303.09,113.33,N/A,1587.12,0
2026-03-27,SPX_CALL,Day Trade,2,38.0000,22.0000,-34.91,-45.07,N/A,-182.87,0
2026-04-07,SPX_PUT,Day Trade,2,137.0000,407.0000,533.09,192.14,N/A,2751.59,0
2026-04-07,SPX_PUT,Day Trade,2,22.0000,12.0000,-22.91,-50.41,N/A,-118.29,0
2026-04-07,SPX_CALL,Day Trade,2,133.0000,393.0000,513.09,190.42,N/A,2648.36,0
2026-04-07,SPX_CALL,Day Trade,2,225.0000,60.0000,-332.91,-73.74,N/A,-1718.72,0
2026-04-08,SPX_PUT,Day Trade,1,303.0000,593.0000,286.56,94.04,N/A,1458.21,0
2026-04-08,SPX_PUT,Day Trade,1,303.0000,593.0000,286.56,94.04,N/A,1458.21,0
2026-04-08,SPX_PUT,Day Trade,2,462.0000,172.0000,-582.91,-62.99,N/A,-2967.16,0
2026-04-09,SPX_PUT,Day Trade,2,87.0000,227.0000,273.09,153.90,N/A,1387.60,0
2026-04-09,SPX_PUT,Day Trade,2,82.0000,312.0000,453.09,270.58,N/A,2302.28,0
2026-04-09,SPX_PUT,Day Trade,1,47.0000,27.0000,-21.44,-44.93,N/A,-108.98,0
2026-04-09,SPX_PUT,Day Trade,1,47.0000,27.0000,-21.44,-44.93,N/A,-108.98,0
2026-04-09,SPX_PUT,Day Trade,2,107.0000,47.0000,-122.91,-57.05,N/A,-624.70,0
2026-04-09,SPX_CALL,Day Trade,2,42.0000,187.0000,283.09,323.72,N/A,1438.47,0
2026-04-09,SPX_CALL,Day Trade,1,312.0000,47.0000,-266.44,-85.20,N/A,-1354.10,0
2026-04-09,SPX_CALL,Day Trade,1,312.0000,47.0000,-266.44,-85.20,N/A,-1354.10,0
2026-04-09,SPX_CALL,Day Trade,2,37.0000,157.0000,233.09,300.96,N/A,1184.40,0
2026-04-09,SPX_CALL,Day Trade,1,367.0000,82.0000,-286.44,-77.90,N/A,-1455.77,0
2026-04-09,SPX_CALL,Day Trade,1,367.0000,82.0000,-286.44,-77.90,N/A,-1455.77,0
2026-04-09,SPX_CALL,Day Trade,1,62.0000,227.0000,161.56,253.55,N/A,820.93,0
2026-04-09,SPX_CALL,Day Trade,1,70.0000,255.0000,181.56,253.15,N/A,922.55,0
2026-04-09,SPX_CALL,Day Trade,1,372.0000,107.0000,-266.44,-71.49,N/A,-1354.14,0
2026-04-09,SPX_CALL,Day Trade,1,372.0000,107.0000,-266.44,-71.49,N/A,-1354.14,0
2026-04-14,SPX_CALL,Day Trade,1,170.0000,395.0000,221.56,129.02,N/A,1103.27,0
2026-04-14,SPX_CALL,Day Trade,1,170.0000,395.0000,221.56,129.02,N/A,1103.27,0
2026-04-14,SPX_CALL,Day Trade,1,370.0000,160.0000,-211.44,-57.03,N/A,-1053.19,0
2026-04-14,SPX_CALL,Day Trade,1,367.0000,157.0000,-211.44,-57.50,N/A,-1053.19,0
2026-04-14,SPX_CALL,Day Trade,1,492.0000,162.0000,-333.44,-67.54,N/A,-1660.83,0
2026-04-14,SPX_CALL,Day Trade,1,75.0000,460.0000,383.56,506.55,N/A,1910.08,0
2026-04-15,SPX_PUT,Day Trade,2,82.0000,235.0000,299.09,178.61,N/A,1493.02,0
2026-04-15,SPX_PUT,Day Trade,1,375.0000,130.0000,-246.44,-65.59,N/A,-1230.50,0
2026-04-15,SPX_PUT,Day Trade,1,375.0000,130.0000,-246.44,-65.59,N/A,-1230.50,0
2026-04-15,SPX_CALL,Day Trade,2,28.0000,150.0000,237.09,398.81,N/A,1183.57,0
2026-04-15,SPX_CALL,Day Trade,1,67.0000,12.0000,-56.44,-83.34,N/A,-281.80,0
2026-04-15,SPX_CALL,Day Trade,1,67.0000,12.0000,-56.44,-83.34,N/A,-281.80,0
2026-04-17,SPX_CALL,Day Trade,1,1269.0000,1034.0000,-238.44,-18.76,N/A,-1185.55,0
2026-04-17,SPX_CALL,Day Trade,1,4300.0000,4780.0000,478.56,11.13,N/A,2375.34,0
2026-04-17,SPX_CALL,Day Trade,1,663.0000,463.0000,-203.44,-30.61,N/A,-1011.27,0
2026-04-17,SPX_CALL,Day Trade,1,663.0000,463.0000,-203.44,-30.61,N/A,-1011.27,0
2026-04-17,SPX_CALL,Day Trade,2,27.0000,47.0000,37.09,66.89,N/A,184.26,0
2026-04-20,RCL,Swing Trade,7.5,308.7485,275.2900,-250.94,-10.84,-0.65,-1252.02,503
2026-04-24,SPX_CALL,Day Trade,2,826.0000,651.0000,-356.91,-21.56,N/A,-1788.29,0
2026-04-24,SPX_CALL,Day Trade,1,2135.0000,2620.0000,483.56,22.64,N/A,2420.24,0
2026-04-24,SPX_CALL,Day Trade,1,2135.0000,2620.0000,483.56,22.64,N/A,2420.24,0
2026-04-27,SPX_PUT,Day Trade,1,548.0000,413.0000,-138.44,-25.18,N/A,-688.29,0
2026-04-27,SPX_PUT,Day Trade,1,168.0000,228.0000,58.56,34.71,N/A,290.91,0
2026-04-28,SPX_PUT,Day Trade,2,1208.0000,1033.0000,-356.91,-14.75,N/A,-1781.43,0
2026-04-28,SPX_PUT,Day Trade,2,673.0000,983.0000,617.09,45.80,N/A,3076.74,0
2026-04-29,SPX_PUT,Day Trade,2,1178.0000,1003.0000,-356.91,-15.13,N/A,-1785.22,0
2026-04-29,SPX_PUT,Day Trade,1,2184.0000,2534.0000,348.56,15.95,N/A,1740.76,0
2026-04-29,SPX_PUT,Day Trade,1,286.0000,451.0000,163.56,57.05,N/A,817.28,0
2026-04-30,SPX_CALL,Day Trade,1,918.0000,1372.0000,450.55,48.99,N/A,2246.79,0
2026-04-30,SPX_CALL,Day Trade,1,1936.0000,1372.0000,-567.45,-29.28,N/A,-2831.60,0
2026-04-30,SPX_CALL,Day Trade,1,1113.0000,644.0000,-472.45,-42.38,N/A,-2357.25,0
2026-04-30,SPX_CALL,Day Trade,1,335.0000,644.0000,305.55,90.74,N/A,1523.88,0
2026-04-30,SPX_CALL,Day Trade,1,4639.0000,5622.0000,981.55,21.16,N/A,4893.21,0
2026-04-30,SPX_CALL,Day Trade,1,4639.0000,3666.0000,-974.45,-21.00,N/A,-4863.32,0
2026-04-30,SPX_CALL,Day Trade,1,2615.0000,1775.0000,-841.45,-32.17,N/A,-4198.70,0
2026-04-30,SPX_CALL,Day Trade,1,2615.0000,3525.0000,908.55,34.73,N/A,4530.30,0
2026-05-01,SPX_PUT,Day Trade,1,356.0000,656.0000,296.56,82.90,N/A,1479.03,0
2026-05-01,SPX_CALL,Day Trade,1,668.0000,483.0000,-188.44,-28.14,N/A,-940.34,0
2026-05-01,SPX_CALL,Day Trade,1,640.0000,830.0000,188.56,29.43,N/A,940.15,0
2026-05-04,SPX_PUT,Day Trade,1,737.0000,242.0000,-496.44,-67.29,N/A,-2461.84,0
2026-05-07,SPX_PUT,Day Trade,2,890.0000,730.0000,-326.90,-18.33,N/A,-1608.24,0
2026-05-07,SPX_PUT,Day Trade,2,407.0000,502.0000,187.10,22.94,N/A,919.37,0
2026-05-11,SPX_PUT,Day Trade,1,1022.0000,847.0000,-178.44,-17.43,N/A,-874.38,0
2026-05-11,SPX_PUT,Day Trade,1,302.0000,252.0000,-53.44,-17.60,N/A,-261.86,0
2026-05-11,SPX_PUT,Day Trade,2,115.0000,165.0000,97.10,41.95,N/A,475.33,0
